goods_id,goods_image,goods_name,goods_price,id,sales_volume,attr_name,example_img,counter_price,engName,chiName,name,code,sub_name
l5m,https://img.xinxinapp.net/community/imgs/20190906/3484f9d7235eaa008796dbccb857dcd5_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #402/Vantine Fuchsia,--,OEev,36.0,,,,Gucci,古驰,金管唇膏,402,Vantine Fuchsia
l5m,https://img.xinxinapp.net/community/imgs/20190906/b0017251cdb57e908b218f4ec90ac1fe_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #405/Grand Hotel,--,yQBy,36.0,,,,Gucci,古驰,金管唇膏,405,Grand Hotel
l5m,https://img.xinxinapp.net/community/imgs/20190906/53fedf3929dd7be7f8b4cfc1fd1eddc6_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #506/Louisa Red,--,rQ7p,36.0,,,,Gucci,古驰,金管唇膏,506,Louisa Red
l5m,https://img.xinxinapp.net/community/imgs/20190906/2c72a3dd5656cb2a799f1d06eea5dd7b_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #601/Virginia Fleur de Lis,--,8mpN,36.0,,,,Gucci,古驰,金管唇膏,601,Virginia Fleur de Lis
l5m,https://img.xinxinapp.net/community/imgs/20190906/83ee0cd9de9df543833c57823959a538_1000x1000.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 金管唇膏3.5g #700/Crystal Black,--,0GzL,36.0,,,,Gucci,古驰,金管唇膏,700,Crystal Black
PAp,https://img.xinxinapp.net/community/imgs/20190619/697451ce161d7d54091570f84de8c4d0_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 魅惑星耀唇膏3.2g #553/Magnetic Smile,--,ZDmR,5.0,,,,DIOR,迪奥,魅惑星耀唇膏,553,Magnetic Smile
2nK,https://img.xinxinapp.net/community/imgs/20190606/22d60a7d6242ce429928567b91c18730_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 禁忌之吻漆光唇蜜6ml #5/失乐园,--,8kZ,0.0,,,,GIVENCHY,纪梵希,禁忌之吻漆光唇蜜,5,失乐园
2nK,https://img.xinxinapp.net/community/imgs/20190606/8ec8b0cf2acea725c7b7bde69a2a7ca8_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 禁忌之吻漆光唇蜜6ml #6/迷雾,--,0E7,0.0,,,,GIVENCHY,纪梵希,禁忌之吻漆光唇蜜,6,迷雾
2nK,https://img.xinxinapp.net/community/imgs/20190606/e24c309b9f7cc538b2125b7c90bcb424_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 禁忌之吻漆光唇蜜6ml #9/夹竹桃,--,PQq,0.0,,,,GIVENCHY,纪梵希,禁忌之吻漆光唇蜜,9,夹竹桃
2nK,https://img.xinxinapp.net/community/imgs/20190610/69baef04664d0fbfc7005464c472a771_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 禁忌之吻漆光唇蜜6ml #11/荆棘鸟,--,KXZ7,0.0,,,,GIVENCHY,纪梵希,禁忌之吻漆光唇蜜,11,荆棘鸟
2nK,https://img.xinxinapp.net/community/imgs/20190606/31557f7b23bc7b80336efbc5a16cf0fa_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 禁忌之吻漆光唇蜜6ml #7/多巴胺,--,75O,0.0,,,,GIVENCHY,纪梵希,禁忌之吻漆光唇蜜,7,多巴胺
2nK,https://img.xinxinapp.net/community/imgs/20190606/97ac3ceb4c6bb2fb5ef552a1f5dee228_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 禁忌之吻漆光唇蜜6ml #10/洛丽塔,--,51Y,0.0,,,,GIVENCHY,纪梵希,禁忌之吻漆光唇蜜,10,洛丽塔
2nK,https://img.xinxinapp.net/community/imgs/20190606/acd9877cf84831e4497f435ec8e21885_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 禁忌之吻漆光唇蜜6ml #4/紫外光,--,w1V,0.0,,,,GIVENCHY,纪梵希,禁忌之吻漆光唇蜜,4,紫外光
2nK,https://img.xinxinapp.net/community/imgs/20190606/12fbeafd1eb8f4ea3181386cd07272ac_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 禁忌之吻漆光唇蜜6ml #8/美狄亚,--,bbg,0.0,,,,GIVENCHY,纪梵希,禁忌之吻漆光唇蜜,8,美狄亚
